,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,2 0 +2,,1 2 -1,3 1 +2,
heat KRÜ,1 0 +1,1 0 +1,,1 0 +1,2 0 +2
Shyy KRÜ,0 2 -2,,0 1 -1,1 0 +1,
Melser KRÜ,,,0 1 -1,1 0 +1,0 1 -1
mta KRÜ,0 1 -1,,,1 1 +0,
