,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,,,1 1 +0,2 3 -1,1 2 -1
heat KRÜ,,1 1 +0,,1 0 +1,1 0 +1
Shyy KRÜ,,,,1 1 +0,2 0 +2
Melser KRÜ,,,0 1 -1,0 1 -1,1 2 -1
mta KRÜ,,,,1 0 +1,
