,runi C9,Xeppaa C9,moose C9,OXY C9,vanity C9
keznit KRÜ,8 1 +7,3 3 +0,3 4 -1,4 8 -4,3 3 +0
heat KRÜ,6 2 +4,4 5 -1,4 2 +2,5 3 +2,6 3 +3
Shyy KRÜ,3 7 -4,5 5 +0,0 3 -3,4 3 +1,1 2 -1
Melser KRÜ,1 4 -3,0 4 -4,7 1 +6,4 0 +4,6 5 +1
mta KRÜ,2 8 -6,4 1 +3,2 4 -2,3 7 -4,0 1 -1
