,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,2 4 -2,3 1 +2,3 1 +2,6 1 +5,2 0 +2
Monyet RRQ,2 3 -1,4 3 +1,3 3 +0,7 1 +6,5 0 +5
Jemkin RRQ,7 2 +5,3 2 +1,5 2 +3,1 1 +0,4 1 +3
crazyguy RRQ,0 2 -2,3 2 +1,1 3 -2,1 1 +0,3 1 +2
xffero RRQ,2 2 +0,3 2 +1,0 3 -3,1 0 +1,2 0 +2
