,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,1 3 -2,0 2 -2,2 0 +2,2 2 +0,2 3 -1
Monyet RRQ,3 1 +2,6 2 +4,2 1 +1,5 4 +1,4 5 -1
Jemkin RRQ,3 4 -1,5 1 +4,5 3 +2,5 2 +3,3 2 +1
crazyguy RRQ,0 3 -3,3 1 +2,5 1 +4,2 1 +1,2 4 -2
xffero RRQ,7 1 +6,1 1 +0,3 4 -1,2 3 -1,3 3 +0
