,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,6 11 -5,4 6 -2,7 4 +3,12 7 +5,6 8 -2
Monyet RRQ,8 5 +3,15 12 +3,10 6 +4,15 9 +6,12 7 +5
Jemkin RRQ,14 8 +6,11 6 +5,15 8 +7,12 4 +8,10 7 +3
crazyguy RRQ,4 7 -3,8 8 +0,7 6 +1,6 5 +1,7 7 +0
xffero RRQ,13 5 +8,9 8 +1,8 9 -1,5 6 -1,10 6 +4
