,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,0 1 -1,,2 0 +2,,
Monyet RRQ,1 0 +1,0 1 -1,2 0 +2,1 0 +1,1 0 +1
Jemkin RRQ,3 0 +3,,0 1 -1,,
crazyguy RRQ,,,0 1 -1,,1 0 +1
xffero RRQ,1 0 +1,,,,
