,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,,,,,1 0 +1
Monyet RRQ,,2 1 +1,,0 1 -1,1 0 +1
Jemkin RRQ,,1 0 +1,0 2 -2,2 1 +1,
crazyguy RRQ,0 1 -1,1 0 +1,1 0 +1,,1 0 +1
xffero RRQ,2 0 +2,,0 1 -1,0 1 -1,1 0 +1
