,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,1 3 -2,0 1 -1,3 1 +2,,1 0 +1
Monyet RRQ,1 0 +1,2 2 +0,4 0 +4,1 1 +0,2 0 +2
Jemkin RRQ,4 0 +4,1 1 +0,2 5 -3,5 1 +4,0 2 -2
crazyguy RRQ,0 1 -1,1 0 +1,1 1 +0,,2 0 +2
xffero RRQ,3 0 +3,2 0 +2,1 1 +0,0 2 -2,1 1 +0
