,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,3 4 -1,1 3 -2,2 3 -1,4 4 +0,2 5 -3
Monyet RRQ,3 1 +2,5 7 -2,5 2 +3,3 4 -1,3 2 +1
Jemkin RRQ,4 2 +2,3 3 +0,5 3 +2,6 1 +5,3 4 -1
crazyguy RRQ,4 2 +2,2 5 -3,1 2 -1,3 3 +0,2 2 +0
xffero RRQ,4 2 +2,5 5 +0,5 2 +3,2 3 -1,5 3 +2
