,Persia NS,Ivy NS,Dambi NS,Rb NS,Francis NS
Kushy RRQ,1 2 -1,0 1 -1,1 1 +0,,
Monyet RRQ,,,2 0 +2,,
Jemkin RRQ,1 0 +1,0 1 -1,2 2 +0,3 0 +3,0 2 -2
crazyguy RRQ,,,,,
xffero RRQ,,2 0 +2,1 0 +1,0 1 -1,0 1 -1
