,mta KRÜ,Shyy KRÜ,Melser KRÜ,heat KRÜ,keznit KRÜ
vanity C9,4 1 +3,2 5 -3,3 4 -1,0 4 -4,2 2 +0
moose C9,3 3 +0,1 3 -2,2 3 -1,2 4 -2,4 4 +0
Xeppaa C9,0 1 -1,5 5 +0,0 1 -1,4 4 +0,0 4 -4
OXY C9,2 4 -2,2 2 +0,6 1 +5,5 4 +1,4 7 -3
runi C9,0 3 -3,0 5 -5,0 1 -1,2 3 -1,0 5 -5
