,mta KRÜ,Shyy KRÜ,Melser KRÜ,heat KRÜ,keznit KRÜ
vanity C9,2 5 -3,3 3 +0,1 1 +0,2 2 +0,3 3 +0
moose C9,5 4 +1,2 1 +1,6 3 +3,3 3 +0,1 3 -2
Xeppaa C9,3 3 +0,3 1 +2,0 5 -5,2 6 -4,4 3 +1
OXY C9,3 3 +0,3 4 -1,4 5 -1,6 1 +5,4 7 -3
runi C9,0 7 -7,4 1 +3,1 2 -1,2 1 +1,3 3 +0
