,mta KRÜ,Shyy KRÜ,Melser KRÜ,heat KRÜ,keznit KRÜ
vanity C9,6 6 +0,5 8 -3,4 5 -1,2 6 -4,5 5 +0
moose C9,8 7 +1,3 4 -1,8 6 +2,5 7 -2,5 7 -2
Xeppaa C9,3 4 -1,8 6 +2,0 6 -6,6 10 -4,4 7 -3
OXY C9,5 7 -2,5 6 -1,10 6 +4,11 5 +6,8 14 -6
runi C9,0 10 -10,4 6 -2,1 3 -2,4 4 +0,3 8 -5
