,mta KRÜ,Shyy KRÜ,Melser KRÜ,heat KRÜ,keznit KRÜ
vanity C9,1 0 +1,1 1 +0,1 1 +0,,
moose C9,1 1 +0,,3 0 +3,1 1 +0,1 1 +0
Xeppaa C9,1 0 +1,1 0 +1,0 1 -1,0 1 -1,1 2 -1
OXY C9,,0 2 -2,3 2 +1,2 1 +1,2 5 -3
runi C9,0 1 -1,1 0 +1,,1 0 +1,0 2 -2
