,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,3 2 +1,3 3 +0,3 3 +0,6 5 +1,6 2 +4
cortezia MIBR,2 3 -1,3 6 -3,4 3 +1,0 3 -3,5 3 +2
aspas MIBR,3 2 +1,3 5 -2,3 1 +2,3 7 -4,1 1 +0
xenom MIBR,3 2 +1,4 5 -1,1 3 -2,4 4 +0,4 1 +3
artzin MIBR,2 2 +0,1 6 -5,1 0 +1,1 5 -4,1 5 -4
