,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,2 2 +0,2 1 +1,4 2 +2,2 6 -4,4 2 +2
cortezia MIBR,1 1 +0,4 6 -2,2 3 -1,5 4 +1,2 4 -2
aspas MIBR,5 3 +2,2 5 -3,3 1 +2,1 2 -1,3 2 +1
xenom MIBR,6 0 +6,4 5 -1,2 3 -1,3 2 +1,5 2 +3
artzin MIBR,4 2 +2,6 1 +5,3 1 +2,5 4 +1,2 6 -4
