,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,,1 0 +1,0 1 -1,1 1 +0,1 1 +0
cortezia MIBR,0 1 -1,1 3 -2,3 2 +1,3 3 +0,4 2 +2
aspas MIBR,1 4 -3,4 5 -1,4 0 +4,8 2 +6,6 6 +0
xenom MIBR,0 2 -2,1 3 -2,0 3 -3,1 0 +1,1 2 -1
artzin MIBR,1 2 -1,1 3 -2,0 1 -1,1 0 +1,0 5 -5
