,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,13 8 +5,17 12 +5,13 13 +0,14 18 -4,13 10 +3
cortezia MIBR,9 10 -1,13 21 -8,11 18 -7,8 16 -8,16 12 +4
aspas MIBR,16 11 +5,13 17 -4,17 8 +9,16 17 -1,16 11 +5
xenom MIBR,15 5 +10,12 19 -7,7 18 -11,16 10 +6,13 11 +2
artzin MIBR,12 10 +2,15 18 -3,6 9 -3,11 15 -4,9 22 -13
