,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,,,,0 1 -1,
cortezia MIBR,,0 2 -2,1 0 +1,1 2 -1,2 1 +1
aspas MIBR,0 1 -1,0 1 -1,2 0 +2,1 0 +1,1 0 +1
xenom MIBR,,0 1 -1,,,1 0 +1
artzin MIBR,1 1 +0,0 1 -1,,1 0 +1,0 1 -1
