,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,4 2 +2,3 3 +0,3 4 -1,3 4 -1,3 2 +1
cortezia MIBR,4 2 +2,3 6 -3,2 5 -3,1 4 -3,4 2 +2
aspas MIBR,1 4 -3,5 3 +2,4 2 +2,7 2 +5,4 4 +0
xenom MIBR,1 2 -1,0 2 -2,1 5 -4,2 4 -2,2 3 -1
artzin MIBR,2 1 +1,4 6 -2,1 2 -1,1 4 -3,2 6 -4
