,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,4 2 +2,9 5 +4,3 4 -1,3 3 +0,0 4 -4
cortezia MIBR,2 4 -2,3 3 +0,3 7 -4,2 5 -3,5 3 +2
aspas MIBR,7 2 +5,3 4 -1,7 4 +3,5 6 -1,8 4 +4
xenom MIBR,5 1 +4,4 7 -3,3 7 -4,7 0 +7,2 5 -3
artzin MIBR,4 5 -1,4 5 -1,1 6 -5,4 2 +2,4 5 -1
