,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,,,,,
cortezia MIBR,,0 3 -3,,,0 1 -1
aspas MIBR,,,,1 0 +1,
xenom MIBR,,,,,0 1 -1
artzin MIBR,,,,,0 1 -1
