,JonahP G2,leaf G2,trent G2,valyn G2,jawgemo G2
Verno MIBR,,,0 1 -1,,1 0 +1
cortezia MIBR,,1 1 +0,1 1 +0,,
aspas MIBR,0 1 -1,1 1 +0,1 0 +1,1 1 +0,0 1 -1
xenom MIBR,0 1 -1,0 1 -1,0 1 -1,,
artzin MIBR,0 1 -1,0 1 -1,,,0 3 -3
