,Deryeon GE,UdoTan GE,Papi GE,kellyS GE,Kr1stal GE
Munchkin GEN,1 0 +1,0 1 -1,1 0 +1,1 0 +1,1 0 +1
Ash GEN,,1 0 +1,,,
t3xture GEN,2 0 +2,,,,
Foxy9 GEN,,4 1 +3,,,
Karon GEN,1 0 +1,0 1 -1,,2 1 +1,
