,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,1 2 -1,5 4 +1,7 3 +4,3 1 +2,6 4 +2
Zyppan M8,3 3 +0,1 5 -4,4 1 +3,2 4 -2,4 1 +3
Kada M8,4 4 +0,3 2 +1,1 3 -2,4 8 -4,1 2 -1
kamyk M8,4 3 +1,6 2 +4,2 4 -2,4 4 +0,2 1 +1
Click M8,3 3 +0,2 2 +0,1 6 -5,3 4 -1,1 3 -2
