,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,0 2 -2,2 5 -3,3 5 -2,4 2 +2,1 2 -1
Zyppan M8,1 3 -2,2 5 -3,2 3 -1,3 1 +2,0 3 -3
Kada M8,2 5 -3,4 1 +3,2 4 -2,3 1 +2,1 3 -2
kamyk M8,3 1 +2,1 5 -4,2 5 -3,1 3 -2,3 2 +1
Click M8,2 3 -1,2 4 -2,2 3 -1,4 3 +1,1 4 -3
