,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Zyppan M8,,1 Round 15 flyuh Filu,,,,,,,,,39,2,0
kamyk M8,,2 Round 9 sheydos grubinho Round 17 sheydos Filu,1 Round 10 soulcas sheydos grubinho,,,,,,,,47,3,0
Click M8,,3 Round 2 flyuh Filu Round 11 Filu sheydos Round 17 soulcas flyuh,,,,,,,,,46,1,0
Kada M8,,1 Round 3 Filu sheydos,1 Round 11 flyuh soulcas grubinho,,,,,,,,55,1,0
Minny M8,,2 Round 3 flyuh soulcas Round 14 flyuh soulcas,,,,,,,,,40,0,0
soulcas MKOI,,5 Round 6 Zyppan Minny Round 7 Kada kamyk Round 13 Kada Zyppan Round 16 kamyk Minny Round 18 Minny Click,1 Round 1 Minny Click kamyk,,,,,,,,72,1,1
sheydos MKOI,,2 Round 4 Click Kada Round 7 Zyppan Minny,1 Round 14 Minny Click Zyppan,,,,,,,,65,2,0
flyuh MKOI,,2 Round 3 kamyk Zyppan Round 6 Click kamyk,,,,,,,,,38,1,0
Filu MKOI,,6 Round 2 kamyk Zyppan Round 8 Zyppan Minny Round 9 Click Zyppan Round 13 Minny kamyk Round 15 Click kamyk Round 19 Click Zyppan,,,,,,,,,63,1,0
grubinho MKOI,,2 Round 15 Kada Zyppan Round 17 Click Zyppan,1 Round 8 kamyk Click Kada,,,,1 Round 17 Click Zyppan,,,,64,1,1
