,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,5 7 -2,11 12 -1,13 12 +1,11 7 +4,8 8 +0
Zyppan M8,8 10 -2,5 12 -7,9 10 -1,7 7 +0,6 5 +1
Kada M8,8 12 -4,8 7 +1,5 15 -10,11 11 +0,3 8 -5
kamyk M8,10 8 +2,12 9 +3,6 11 -5,8 14 -6,8 8 +0
Click M8,9 10 -1,8 10 -2,7 12 -5,9 10 -1,10 10 +0
