,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,4 3 +1,4 3 +1,3 4 -1,4 4 +0,1 2 -1
Zyppan M8,4 4 +0,2 2 +0,3 6 -3,2 2 +0,2 1 +1
Kada M8,2 3 -1,1 4 -3,2 8 -6,4 2 +2,1 3 -2
kamyk M8,3 4 -1,5 2 +3,2 2 +0,3 7 -4,3 5 -2
Click M8,4 4 +0,4 4 +0,4 3 +1,2 3 -1,8 3 +5
