,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,0 1 -1,1 0 +1,,1 1 +0,
Zyppan M8,,,0 2 -2,,
Kada M8,,,0 2 -2,,
kamyk M8,0 1 -1,1 1 +0,,,
Click M8,1 2 -1,4 2 +2,,0 2 -2,
