,grubinho MKOI,Filu MKOI,soulcas MKOI,flyuh MKOI,sheydos MKOI
Minny M8,,,,0 1 -1,
Zyppan M8,0 1 -1,0 1 -1,,,
Kada M8,0 2 -2,2 1 +1,0 2 -2,1 1 +0,
kamyk M8,1 1 +0,,,,1 0 +1
Click M8,0 1 -1,0 2 -2,,1 0 +1,
