,Cryocells 100T,eeiu 100T,zander 100T,Kess 100T,Asuna 100T
valyn G2,4 2 +2,0 3 -3,3 1 +2,5 2 +3,1 1 +0
trent G2,3 3 +0,2 3 -1,5 2 +3,1 1 +0,2 0 +2
BABYBAY G2,1 3 -2,5 1 +4,3 1 +2,3 1 +2,4 3 +1
JonahP G2,5 4 +1,3 1 +2,1 2 -1,,3 2 +1
jawgemo G2,1 1 +0,4 6 -2,3 3 +0,5 1 +4,5 0 +5
