,Cryocells 100T,eeiu 100T,zander 100T,Kess 100T,Asuna 100T
valyn G2,5 7 -2,1 6 -5,8 2 +6,6 5 +1,3 1 +2
trent G2,4 6 -2,4 7 -3,7 4 +3,7 2 +5,3 1 +2
BABYBAY G2,5 4 +1,8 5 +3,5 3 +2,5 3 +2,8 5 +3
JonahP G2,9 5 +4,7 3 +4,3 4 -1,2 3 -1,6 3 +3
jawgemo G2,7 1 +6,9 11 -2,8 4 +4,10 3 +7,9 1 +8
