,Cryocells 100T,eeiu 100T,zander 100T,Kess 100T,Asuna 100T
valyn G2,0 2 -2,,1 0 +1,1 0 +1,
trent G2,,0 2 -2,,,1 0 +1
BABYBAY G2,2 0 +2,2 0 +2,2 0 +2,,3 1 +2
JonahP G2,2 0 +2,1 0 +1,,1 1 +0,4 0 +4
jawgemo G2,1 0 +1,,1 0 +1,2 1 +1,4 0 +4
