,kamyk TL,nAts TL,keiko TL,kamo TL,paTiTek TL
qRaxs FUT,,,2 0 +2,1 0 +1,1 0 +1
yetujey FUT,,,1 0 +1,1 1 +0,
MrFaliN FUT,0 1 -1,,,1 2 -1,
xeus FUT,0 1 -1,,0 1 -1,2 1 +1,1 1 +0
AtaKaptan FUT,,,,2 0 +2,
