,kamyk TL,nAts TL,keiko TL,kamo TL,paTiTek TL
qRaxs FUT,1 0 +1,,2 0 +2,2 0 +2,2 0 +2
yetujey FUT,1 1 +0,,1 0 +1,1 1 +0,0 1 -1
MrFaliN FUT,0 1 -1,,,1 2 -1,1 0 +1
xeus FUT,2 2 +0,1 0 +1,1 3 -2,2 1 +1,2 1 +1
AtaKaptan FUT,,0 1 -1,1 0 +1,2 1 +1,0 1 -1
