,kamyk TL,nAts TL,keiko TL,kamo TL,paTiTek TL
qRaxs FUT,5 2 +3,2 4 -2,2 1 +1,3 4 -1,6 4 +2
yetujey FUT,5 4 +1,3 3 +0,3 0 +3,3 3 +0,1 2 -1
MrFaliN FUT,2 3 -1,4 3 +1,2 0 +2,2 5 -3,3 1 +2
xeus FUT,2 8 -6,2 1 +1,5 4 +1,4 3 +1,3 0 +3
AtaKaptan FUT,2 3 -1,3 3 +0,4 3 +1,5 2 +3,3 2 +1
