,kamyk TL,nAts TL,keiko TL,kamo TL,paTiTek TL
qRaxs FUT,8 6 +2,5 8 -3,6 3 +3,7 6 +1,11 5 +6
yetujey FUT,8 7 +1,6 7 -1,7 3 +4,5 5 +0,4 3 +1
MrFaliN FUT,6 4 +2,8 7 +1,5 3 +2,5 10 -5,4 1 +3
xeus FUT,4 11 -7,6 2 +4,7 8 -1,7 4 +3,8 3 +5
AtaKaptan FUT,5 6 -1,5 7 -2,6 6 +0,9 3 +6,4 4 +0
