,bang SEN,N4RRATE SEN,zekken SEN,Zellsis SEN,johnqt SEN
MaKo DRX,,0 3 -3,2 1 +1,1 0 +1,1 1 +0
Flashback DRX,1 0 +1,,1 1 +0,0 1 -1,
free1ng DRX,2 1 +1,,1 0 +1,1 0 +1,2 1 +1
BeYN DRX,1 1 +0,,0 1 -1,,
HYUNMIN DRX,1 2 -1,1 1 +0,3 2 +1,2 0 +2,2 1 +1
