,bang SEN,N4RRATE SEN,zekken SEN,Zellsis SEN,johnqt SEN
MaKo DRX,,0 1 -1,1 0 +1,1 0 +1,0 1 -1
Flashback DRX,1 0 +1,,1 1 +0,,
free1ng DRX,1 1 +0,,1 0 +1,,1 0 +1
BeYN DRX,0 1 -1,,0 1 -1,,
HYUNMIN DRX,1 1 +0,1 1 +0,1 1 +0,2 0 +2,1 1 +0
