,bang SEN,N4RRATE SEN,zekken SEN,Zellsis SEN,johnqt SEN
MaKo DRX,1 4 -3,2 2 +0,2 1 +1,2 4 -2,1 4 -3
Flashback DRX,7 4 +3,1 2 -1,4 3 +1,7 3 +4,7 2 +5
free1ng DRX,3 7 -4,3 1 +2,4 5 -1,3 1 +2,4 4 +0
BeYN DRX,3 2 +1,5 5 +0,4 1 +3,0 2 -2,3 4 -1
HYUNMIN DRX,3 5 -2,4 5 -1,2 4 -2,6 2 +4,3 4 -1
