,bang SEN,N4RRATE SEN,zekken SEN,Zellsis SEN,johnqt SEN
MaKo DRX,2 0 +2,2 4 -2,2 2 +0,2 0 +2,4 1 +3
Flashback DRX,2 3 -1,1 0 +1,1 0 +1,3 2 +1,1 0 +1
free1ng DRX,2 0 +2,4 0 +4,5 3 +2,5 0 +5,2 2 +0
BeYN DRX,5 1 +4,2 1 +1,2 1 +1,0 1 -1,3 1 +2
HYUNMIN DRX,1 3 -2,4 0 +4,3 3 +0,1 2 -1,4 2 +2
