,bang SEN,N4RRATE SEN,zekken SEN,Zellsis SEN,johnqt SEN
MaKo DRX,,0 2 -2,1 1 +0,,1 0 +1
Flashback DRX,,,,0 1 -1,
free1ng DRX,1 0 +1,,,1 0 +1,1 1 +0
BeYN DRX,1 0 +1,,,,
HYUNMIN DRX,0 1 -1,,2 1 +1,,1 0 +1
