,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,6 6 +0,9 3 +6,8 8 +0,7 9 -2,7 12 -5
Killua TLN,11 6 +5,12 4 +8,5 8 -3,5 8 -3,10 12 -2
JitBoyS TLN,6 6 +0,1 4 -3,10 13 -3,10 6 +4,7 7 +0
thyy TLN,15 6 +9,4 11 -7,12 7 +5,8 9 -1,8 5 +3
primmie TLN,8 7 +1,11 6 +5,9 12 -3,11 5 +6,7 8 -1
