,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,1 1 +0,,3 5 -2,1 0 +1,1 1 +0
Killua TLN,1 0 +1,3 0 +3,1 0 +1,,1 2 -1
JitBoyS TLN,1 3 -2,0 1 -1,4 3 +1,1 1 +0,0 3 -3
thyy TLN,1 3 -2,,2 0 +2,,0 1 -1
primmie TLN,0 1 -1,2 1 +1,4 2 +2,2 0 +2,0 1 -1
