,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,3 Round 1 Dambi Francis Round 6 Ivy Dambi Round 10 Ivy Francis,1 Round 3 margaret Ivy Persia,,,1 Round 3 Persia,,,,,57,2,2
Killua TLN,,2 Round 5 margaret Ivy Round 19 Persia Ivy,1 Round 2 Dambi Francis Ivy,,,,,,,,45,1,0
JitBoyS TLN,,3 Round 4 Dambi Francis Round 10 Dambi margaret Round 19 Dambi margaret,2 Round 5 Dambi Francis Persia Round 18 Dambi Ivy Francis,,,1 Round 19 margaret,,,,,70,1,0
primmie TLN,,2 Round 4 Ivy margaret Round 15 Ivy margaret,,,,,1 Round 8 margaret Dambi,,,,30,1,2
thyy TLN,,3 Round 6 margaret Francis Round 8 Ivy Persia Round 15 Francis Persia,2 Round 12 Dambi Persia margaret Round 16 Ivy margaret Dambi,1 Round 11 Persia Dambi Ivy Francis,,,1 Round 7 Ivy margaret,,,,91,0,0
Persia NS,,1 Round 7 JitBoyS Killua,2 Round 3 Killua primmie JitBoyS Round 16 Crws primmie thyy,,,1 Round 16 thyy,,,,,49,1,0
Dambi NS,,4 Round 6 JitBoyS Killua Round 8 thyy Killua Round 9 primmie Crws Round 16 JitBoyS Killua,,,,,,,,,39,1,1
Francis NS,,2 Round 11 Crws Killua Round 14 Killua JitBoyS,,,,,,,,,37,4,0
Ivy NS,,,1 Round 7 primmie Crws thyy,,,1 Round 12 thyy,,,,,33,0,1
margaret NS,,4 Round 2 Crws Killua Round 12 JitBoyS Crws Round 18 primmie Killua Round 19 thyy Killua,2 Round 8 Crws JitBoyS primmie Round 17 Crws primmie thyy,,,,,,,,66,0,0
