,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,,,1 1 +0,1 0 +1,
Killua TLN,,,1 0 +1,,
JitBoyS TLN,0 1 -1,0 1 -1,3 1 +2,1 0 +1,0 1 -1
thyy TLN,1 0 +1,,,,0 1 -1
primmie TLN,,2 0 +2,1 1 +0,,0 1 -1
