,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,1 2 -1,3 1 +2,3 2 +1,3 2 +1,3 5 -2
Killua TLN,4 4 +0,3 1 +2,3 4 -1,2 3 -1,3 3 +0
JitBoyS TLN,1 2 -1,1 2 -1,5 3 +2,5 1 +4,3 3 +0
thyy TLN,9 2 +7,3 4 -1,4 1 +3,4 2 +2,4 3 +1
primmie TLN,0 4 -4,3 1 +2,2 3 -1,1 0 +1,2 4 -2
