,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,,,1 3 -2,,1 0 +1
Killua TLN,,1 0 +1,,,
JitBoyS TLN,1 2 -1,,1 1 +0,0 1 -1,0 1 -1
thyy TLN,0 3 -3,,2 0 +2,,
primmie TLN,,0 1 -1,1 0 +1,1 0 +1,
