,Persia NS,Ivy NS,Dambi NS,Francis NS,margaret NS
Crws TLN,3 4 -1,1 2 -1,2 2 +0,1 2 -1,2 5 -3
Killua TLN,4 0 +4,4 3 +1,1 2 -1,1 2 -1,3 6 -3
JitBoyS TLN,1 0 +1,0 1 -1,1 9 -8,2 2 +0,2 1 +1
thyy TLN,4 0 +4,1 4 -3,2 2 +0,2 4 -2,1 2 -1
primmie TLN,2 3 -1,2 3 -1,4 4 +0,5 2 +3,1 2 -1
