,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,,,,,
d4v41 PRX,1 1 +0,,,2 1 +1,0 1 -1
something PRX,3 1 +2,0 1 -1,,1 1 +0,1 2 -1
f0rsakeN PRX,,,,1 0 +1,
Jinggg PRX,,,2 0 +2,1 2 -1,0 1 -1
