,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,15 11 +4,14 17 -3,10 18 -8,16 18 -2,12 8 +4
d4v41 PRX,20 11 +9,12 11 +1,9 14 -5,22 20 +2,14 8 +6
something PRX,16 21 -5,16 14 +2,12 11 +1,14 21 -7,10 10 +0
f0rsakeN PRX,19 23 -4,13 8 +5,19 15 +4,14 20 -6,16 9 +7
Jinggg PRX,10 15 -5,13 11 +2,14 17 -3,13 20 -7,19 6 +13
