,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,1 1 +0,0 2 -2,,0 1 -1,1 0 +1
d4v41 PRX,,,0 1 -1,0 1 -1,
something PRX,0 2 -2,0 1 -1,,1 0 +1,
f0rsakeN PRX,2 1 +1,,0 1 -1,0 1 -1,
Jinggg PRX,2 1 +1,,0 1 -1,0 1 -1,2 0 +2
