,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,2 5 -3,4 8 -4,5 5 +0,6 6 +0,5 1 +4
d4v41 PRX,7 3 +4,5 5 +0,5 6 -1,8 5 +3,4 2 +2
something PRX,6 7 -1,4 5 -1,4 4 +0,3 5 -2,1 2 -1
f0rsakeN PRX,6 9 -3,1 4 -3,3 2 +1,2 6 -4,4 6 -2
Jinggg PRX,2 8 -6,5 4 +1,2 7 -5,6 3 +3,8 0 +8
