,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,0 1 -1,,,0 1 -1,
d4v41 PRX,,,,,
something PRX,1 4 -3,1 0 +1,2 0 +2,,
f0rsakeN PRX,0 3 -3,,,,
Jinggg PRX,0 1 -1,,,,
