,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,3 3 +0,7 0 +7,1 6 -5,5 5 +0,0 3 -3
d4v41 PRX,3 5 -2,0 2 -2,3 3 +0,2 6 -4,4 2 +2
something PRX,4 5 -1,5 4 +1,6 5 +1,4 7 -3,3 0 +3
f0rsakeN PRX,6 3 +3,4 2 +2,3 5 -2,5 6 -1,5 1 +4
Jinggg PRX,3 1 +2,3 3 +0,4 7 -3,1 5 -4,5 0 +5
