,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,4 3 +1,1 6 -5,2 3 -1,4 3 +1,5 2 +3
d4v41 PRX,7 1 +6,2 4 -2,0 2 -2,4 5 -1,3 2 +1
something PRX,2 7 -5,5 1 +4,2 1 +1,3 5 -2,2 2 +0
f0rsakeN PRX,4 8 -4,4 1 +3,6 3 +3,4 3 +1,4 2 +2
Jinggg PRX,3 5 -2,4 1 +3,3 2 +1,3 7 -4,2 2 +0
