,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,,,,,
d4v41 PRX,,,1 0 +1,1 0 +1,1 0 +1
something PRX,,,,1 0 +1,1 0 +1
f0rsakeN PRX,0 2 -2,,,,
Jinggg PRX,,,,,
