,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,0 1 -1,0 1 -1,,0 2 -2,
d4v41 PRX,,,1 0 +1,1 0 +1,1 0 +1
something PRX,3 5 -2,2 0 +2,2 0 +2,2 1 +1,1 1 +0
f0rsakeN PRX,0 5 -5,,,,
Jinggg PRX,0 1 -1,,,0 1 -1,
