,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,6 0 +6,2 3 -1,2 4 -2,1 4 -3,2 2 +0
d4v41 PRX,3 2 +1,5 0 +5,1 3 -2,8 4 +4,3 2 +1
something PRX,4 2 +2,2 4 -2,0 1 -1,4 4 +0,4 6 -2
f0rsakeN PRX,3 3 +0,4 1 +3,7 5 +2,3 5 -2,3 0 +3
Jinggg PRX,2 1 +1,1 3 -2,5 1 +4,3 5 -2,4 4 +0
