,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,,0 1 -1,,0 1 -1,
d4v41 PRX,,,,,
something PRX,2 1 +1,1 0 +1,,1 1 +0,0 1 -1
f0rsakeN PRX,,,,,
Jinggg PRX,,,,0 1 -1,
