,kaajak FNC,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC
PatMen PRX,,0 1 -1,2 1 +1,1 1 +0,
d4v41 PRX,0 2 -2,,,0 3 -3,1 0 +1
something PRX,1 3 -2,1 0 +1,0 1 -1,1 0 +1,1 1 +0
f0rsakeN PRX,1 2 -1,,,,1 1 +0
Jinggg PRX,1 4 -3,,,,1 0 +1
