,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
valyn G2,,,1 Round 12 Ethan FiNESSE mada,,,,,1 Round 12 Ethan mada FiNESSE,,,45,0,1
jawgemo G2,,5 Round 2 Ethan FiNESSE Round 3 FiNESSE Ethan Round 9 mada brawk Round 12 s0m brawk Round 14 FiNESSE s0m,3 Round 6 Ethan brawk FiNESSE Round 10 s0m Ethan mada Round 13 mada Ethan brawk,1 Round 1 Ethan mada FiNESSE brawk,,2 Round 4 Ethan Round 14 s0m,,,,,97,0,2
JonahP G2,,1 Round 5 s0m Ethan,,,,1 Round 3 s0m,,,,,44,2,2
leaf G2,,3 Round 3 mada brawk Round 4 mada brawk Round 10 brawk FiNESSE,1 Round 11 mada s0m FiNESSE,,,,,,,,77,0,0
trent G2,,3 Round 7 mada FiNESSE Round 9 FiNESSE Ethan Round 14 mada brawk,,,,,,,,,60,0,1
FiNESSE NRG,,1 Round 8 JonahP valyn,,,,,,,,,46,0,0
brawk NRG,,2 Round 6 JonahP leaf Round 7 jawgemo trent,,,,,,,,,59,2,0
s0m NRG,,1 Round 3 jawgemo leaf,1 Round 14 valyn trent JonahP,,,,,,,,33,2,0
mada NRG,,1 Round 5 trent jawgemo,,,,,,,,,35,1,0
Ethan NRG,,,1 Round 4 leaf trent JonahP,,,,,,,,43,2,0
